frase,situacao,sinal_de_alerta,tipo_frase,marcador_genero
"Esfolei o joelho quando caí do patinete com meu filho; fiquei envergonhado, mas só arranhou a pele.",baixo risco,,benigno-corpo,masculino
"Estou com herpes no lábio de novo, apareceu depois de uma semana em que fiquei muito estressada no serviço.",baixo risco,,benigno-outro,feminino
"Estou com uma tosse leve com catarro há alguns dias, mas estou animado, sem febre e comendo bem.",baixo risco,,benigno-outro,masculino
"Machuquei as costas puxando o balde de água, dói quando me curvo mas não irradia para lugar nenhum.",baixo risco,,benigno-corpo,neutro
Saiu uma brotoeja no pescoço por causa do calor desses dias.,baixo risco,,benigno-outro,neutro
Senti o punho reclamar depois de uma hora digitando o relatório e agora está doendo para escrever.,baixo risco,,benigno-outro,neutro
"Fiquei com a perna dolorida de tanto ficar em pé na feira, mas melhora quando descanso sentada com os pés para cima.",baixo risco,,benigno-corpo,feminino
"Não sinto fraqueza nem formigamento, só uma dor no calcanhar esquerdo quando piso de manhã.",baixo risco,,benigno-negacao,neutro
Comi uma fruta que me deu alergia e surgiram umas manchinhas que coçam no braço.,baixo risco,,benigno-corpo,neutro
"Senti uma farpa entrar no dedo no meio da jardinagem e fiquei chateado, o lugar está sensível ao toque.",baixo risco,,benigno-outro,masculino
